Campaign Name,Country,Action,Negative Keyword ID,Negative Keyword,Match Type,Status,Campaign ID,Ad Group ID,Level,Negative Group,Notes
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,google calendar,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,outlook calendar,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,calendar google,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,game,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,games,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,photo,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,video,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,dating,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,jobs,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,job,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,vacancy,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,course,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,training,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,template,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,excel,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,spreadsheet,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,free download,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,download free,EXACT,ACTIVE,,,CAMPAIGN,GLOBAL_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,тимвьювер,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,тимвювер,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,тим вьювер,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,удаленный доступ,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,таймер,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,секундомер,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,помодоро,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,трекер времени,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,учет времени,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,список дел,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,заметки,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,гугл календарь,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,календарь google,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,игры,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,игра,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,фото,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,видео,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,знакомства,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,работа,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,вакансии,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,курсы,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,обучение,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,шаблон,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,эксель,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,таблица,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,скачать бесплатно,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,бесплатно,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,салон рядом,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,маникюр рядом,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,барбер рядом,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,парикмахер рядом,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,косметолог рядом,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,массаж рядом,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться на маникюр,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться к парикмахеру,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться к барберу,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться к косметологу,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться на массаж,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,цена маникюра,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,цены салон,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,адрес салона,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,отзывы салон,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,лучший салон,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,салон возле меня,EXACT,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться маникюр,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться парикмахер,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться барбер,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться косметолог,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,записаться массаж,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,салон рядом,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,маникюр рядом,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,барбер рядом,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,парикмахер рядом,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,цена маникюра,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,адрес салона,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,отзывы салон,BROAD,ACTIVE,,,CAMPAIGN,RU_NEGATIVE_BROAD,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,тімвʼювер,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,тімвювер,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,віддалений доступ,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,таймер,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,секундомір,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,помодоро,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,трекер часу,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,облік часу,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,список справ,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,нотатки,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,гугл календар,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,google календар,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,ігри,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,гра,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,фото,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,відео,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,знайомства,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,робота,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,вакансії,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
TIVZ_UA_SR_EXACT_W1,Ukraine,CREATE,,курси,EXACT,ACTIVE,,,CAMPAIGN,UA_NEGATIVE_EXACT,Fill Campaign ID after manual Apple Ads campaign creation. Leave Ad Group ID blank for campaign-level negatives.
